id,idn,sim
6495058,5898684,0.8054054
6908532,3024929,0.8055556
5072227,4785337,0.8055556
1194174,1173622,0.8055556
4496932,4281565,0.8056872
4869876,2803919,0.8057554
106289,6996,0.80582523
5639146,3824900,0.80582523
4261258,134078,0.80588233
4270225,3745230,0.80597013
1210038,807810,0.80625
4193052,4179189,0.8062827
6914462,6703453,0.8062827
2066639,1197412,0.8064516
1665894,1345024,0.8064516
3459319,3227808,0.8064516
4524681,4236144,0.8064516
4581746,234610,0.80658436
5873106,5748028,0.8068182
4329541,4286937,0.8069498
2940540,2601071,0.80701756
6825869,4976050,0.80701756
6329433,5539874,0.80701756
4247104,1358424,0.8072289
4247104,4153279,0.8072289
5166076,4281565,0.80751175
3284969,107662,0.8076923
1217099,133431,0.8076923
1391318,1363015,0.8076923
3001359,2761794,0.8076923
4882370,3821348,0.8076923
5774383,4657758,0.8076923
5103930,2594000,0.8076923
5751494,4612033,0.8076923
5991882,5939070,0.80794704
4674108,1968478,0.8082192
6100602,5217658,0.80851066
4398745,2922122,0.80864197
6704111,5773483,0.8086957
1197419,5355,0.8088235
4518120,4136189,0.80898875
2708905,966962,0.8090909
4928521,4903326,0.80921054
4564055,1193166,0.8095238
1003433,995781,0.8095238
2484216,2462518,0.8095238
3899886,3893978,0.8095238
3413250,2790852,0.8095238
496626,296261,0.8095238
1430934,1199331,0.80966765
7047033,7030152,0.8097015
4856316,4771906,0.8097166
961317,44855,0.80991733
4434739,4136189,0.81
5506341,5445265,0.81
1474841,79,0.8101266
5952945,5930698,0.8103448
5039,5008,0.8103448
9777,9549,0.8103448
2525257,2056624,0.8103448
3521905,2605765,0.81040895
994729,671009,0.8105263
3710400,2065862,0.8108108
4165863,3107010,0.8108108
4171072,4071571,0.8108108
4607302,4285497,0.8108108
3644146,3560313,0.8108108
3823879,3582777,0.8108108
4484124,4402547,0.8108108
5834269,5624208,0.8108108
7046507,7012239,0.8109453
3937683,2350587,0.8110599
4188888,475990,0.8111111
4371683,4354519,0.8111111
6364392,2732030,0.8111111
6971445,6552967,0.8111111
3746228,3132105,0.8113208
3853883,2676043,0.8113208
6387691,6020974,0.8113208
6423138,6363855,0.8115942
3941162,3763621,0.8116883
6330206,6313311,0.8118812
6226564,5973381,0.81220657
1056466,1031014,0.8125
3307094,3010970,0.8125
4892443,2499622,0.8125
1919743,1888847,0.8125
5819372,3307669,0.8125
2514481,2312427,0.8125
1227768,1227250,0.8125
5940835,5891073,0.8125
5231726,3853878,0.8125
5940053,5827785,0.8125
991157,29970,0.8125
5031714,4339982,0.8127854
6225436,5940077,0.8128655
7118265,6804506,0.8130081
4275193,3920505,0.8130081
4183801,4148626,0.8130435
5089826,2257907,0.8130841
4679222,4621949,0.81333333
797702,12736,0.81333333
4202654,183288,0.8134715
1843848,1600951,0.8135593
2970414,1815150,0.8135593
4701746,4669386,0.8135593
3636584,3618005,0.8135593
5021571,5011353,0.8135593
6307155,6271558,0.8135593
6324678,6271558,0.8135593
2917223,2712589,0.81395346
5166290,3614802,0.81395346
5558734,5515612,0.81395346
3502852,1220875,0.81395346
406496,274486,0.8141593
5390329,5054076,0.8143712
4653552,121592,0.814433
3069269,3027478,0.81474483
7042586,1871827,0.8148148
5036755,1251736,0.8148148
4953721,1449828,0.8148148
2311380,2310393,0.8148148
4538619,3636321,0.8148148
2703950,2075035,0.8148148
3794701,2075035,0.8148148
4702462,3975631,0.8148148
5978509,5453983,0.8148148
1876185,171142,0.8148148
6008200,5949483,0.8150289
6864485,6572035,0.8153846
6690620,662722,0.8153846
7100403,2862003,0.8153846
6275189,6158875,0.8153846
6690620,9934,0.8153846
4912223,4716492,0.815534
4994096,4887401,0.815534
5199997,4451899,0.8156682
969769,12748,0.81578946
644394,218325,0.81578946
2985275,1197400,0.81578946
3404111,3382700,0.81578946
5121674,5030488,0.81578946
7010669,5130934,0.81578946
5664836,5349965,0.81578946
4473826,3133322,0.81609195
6531194,6372871,0.81609195
4237544,4054219,0.81632656
1884303,175197,0.81632656
1955500,175197,0.81632656
1239256,1235711,0.81640625
3610519,3569825,0.81642514
4317234,3096254,0.8164557
4261258,269852,0.8165681
3362522,3047695,0.81666666
5081096,4917066,0.81666666
1200003,372123,0.81666666
4947034,4335620,0.8167939
7007664,6378570,0.8167939
398440,6560,0.8169014
2258148,1165705,0.8172043
7016754,7014480,0.8172043
4389052,4335608,0.8173913
6154897,5925651,0.8173913
206441,4067,0.8173913
5187643,5084874,0.8175676
4124321,2401439,0.81762916
6611889,5085220,0.81764704
6974603,4771906,0.81781375
656641,504479,0.8181818
1224441,812280,0.8181818
98250,6735,0.8181818
1793313,1197437,0.8181818
3626593,2217697,0.8181818
2657174,1371284,0.8181818
2610993,1916196,0.8181818
5953210,2690449,0.8181818
2729514,2490612,0.8181818
4800164,3009794,0.8181818
2998380,2909493,0.8181818
5483690,3102208,0.8181818
6690364,4024755,0.8181818
