"id","idn","sim"
886321,12780,0.8224299
1567672,6720,0.825
1217099,133431,0.8076923
1209590,1193897,1
289034,44742,0.8893805
1197432,5287,0.85
398097,12704,0.8695652
440072,372359,0.8396947
710157,372359,0.8333333
644394,218325,0.81578946
5084942,2717577,0.86764705
4080476,218325,0.8235294
7121590,339646,0.82051283
1793313,1197437,0.8181818
1107494,1031164,0.85549134
1597752,1195006,0.8909091
1742693,447914,0.8405797
6495,6494,1
1197395,509066,0.8604651
1197529,1077191,0.8974359
2469920,12847,0.875
4962551,582659,0.8537736
5828748,582659,0.8584906
861790,398343,0.82758623
1203129,80346,0.86290324
1085970,835709,1
4144372,2312846,0.84210527
894467,386289,0.828125
4764080,386289,0.892562
4136053,17026,0.8974359
1358490,187703,0.8979592
1963643,1781760,0.8989899
3819452,2921616,0.9
681314,296270,0.86549705
2674562,414326,0.85714287
994729,671009,0.8105263
3502571,1084434,0.8035714
20121,9609,0.84090906
134737,81608,0.8961039
6516,6515,1
661242,5296,0.8333333
2618102,283,0.8888889
1200003,656362,0.86206895
1194181,5296,0.8333333
958478,284973,0.8636364
4224066,1371077,0.9
2258148,1165705,0.8172043
1185648,1173747,0.80246913
1695693,475930,0.875
636780,222423,0.8428571
4188888,475990,0.8111111
9926,282,0.9310345
4083870,1470409,0.875
187703,96119,0.84
1358490,96119,0.8979592
680858,218317,0.89915967
5012162,475990,0.8
4716813,680455,0.85542166
2597139,869833,0.8727273
5291,5290,1
4581746,234610,0.80658436
6433,6432,1
3613744,296347,0.85714287
1003433,995781,0.8095238
1094609,583154,0.88235295
7293,6504,0.8978102
3560178,1125055,0.89908254
1017546,16427,0.8385093
5103934,950465,0.9
226299,221095,0.85714287
671032,496536,0.8235294
1391318,1363015,0.8076923
628011,276051,0.86
1548458,571118,0.8888889
785161,423169,0.8817204
6107153,397696,0.84615386
1785595,1649351,0.8447205
1994057,397741,0.82539684
4118940,359730,0.8333333
496620,496152,0.85106385
372123,309002,0.89830506
5672917,1026375,0.8655462
2199583,2162052,0.84
3490396,1466652,0.9
397888,309002,0.9
475930,309002,0.83076924
1200003,309002,0.8196721
1695693,309002,0.8548387
4869876,2803919,0.8057554
3029492,1531348,0.8
677004,652805,0.84313726
7018982,1673756,0.84210527
1797593,1144593,0.828125
9976,9975,1
1220485,460350,0.8548387
710155,513078,0.8666667
623916,381296,0.8828829
610152,578472,0.8767123
1875021,909710,0.83928573
2490529,563058,0.8032787
690408,652805,0.85294116
406496,274486,0.8141593
1014581,896620,0.8252427
6208675,1098038,0.87234044
2052673,1682684,0.85106385
583069,471400,0.89361703
5036755,1251736,0.8148148
1064403,986983,0.80128205
1268314,991302,0.8803419
1006843,886882,0.8761905
5080234,658587,0.8245614
727053,492955,0.80213904
6596,6595,1
996270,266348,0.8333333
1200004,1072740,0.89320385
3024117,962756,0.8769231
1496320,1469986,0.9
339251,1315,0.9
2908829,1153771,0.8979592
1197419,5355,0.8088235
5725662,793812,0.83898306
1531958,1202833,0.8915663
2195021,1820948,0.84126985
2301476,661091,0.875
2648566,1016873,0.8636364
4261366,411252,0.875
